date,supply
2019-12-11 02:06,8095372.609
2019-12-12 03:06,8095372.609
2019-12-13 01:20,8095372.609
2019-12-14 02:20,8095372.609
2019-12-15 03:20,8095372.609
2019-12-16 01:33,8095372.609
2019-12-17 02:33,8095372.609
2019-12-18 00:46,8095372.609
2019-12-19 01:46,8095372.609
2019-12-20 02:46,8095372.609
2019-12-21 01:00,8095372.609
2019-12-22 02:00,8095372.609
2019-12-23 03:00,8095372.609
2019-12-24 01:13,8095372.609
2019-12-25 02:13,8095372.609
2019-12-26 03:13,8095372.609
2019-12-27 01:26,8095372.609
2019-12-28 02:26,8095372.609
2019-12-29 00:40,8095372.609
2019-12-30 01:40,8095372.609
2019-12-31 02:40,8095372.609
2020-01-01 00:53,8095372.609
2020-01-02 01:53,8095372.609
2020-01-03 02:53,8095372.609
2020-01-04 01:06,8095372.609
2020-01-05 02:06,8095372.609
2020-01-06 03:06,8095372.609
2020-01-07 01:20,8095372.609
2020-01-08 02:20,8095372.609
2020-01-09 03:20,8095372.609
2020-01-10 01:33,8095372.609
2020-01-11 02:33,8095372.609
2020-01-12 00:46,8095372.609
2020-01-13 01:46,8095372.609
2020-01-14 02:46,8095372.609
2020-01-15 01:00,8095372.609
2020-01-16 02:00,8095372.609
2020-01-17 03:00,8095372.609
2020-01-18 01:13,8095372.609
2020-01-19 02:13,8095372.609
2020-01-20 03:13,8095372.609
2020-01-21 01:26,8095372.609
2020-01-22 02:26,8095372.609
2020-01-23 00:40,8095372.609
2020-01-24 01:40,8095372.609
2020-01-25 02:40,8095372.609
2020-01-26 00:53,8095372.609
2020-01-27 01:53,8095372.609
2020-01-28 02:53,8095372.609
2020-01-29 01:06,8095372.609
2020-01-30 02:06,8095372.609
2020-01-31 03:06,8095372.609
2020-02-01 01:20,8095372.609
2020-02-02 02:20,8095372.609
2020-02-03 03:20,8095372.609
2020-02-04 01:33,8095372.609
2020-02-05 02:33,8095372.609
2020-02-06 00:46,8095372.609
2020-02-07 01:46,8095372.609
2020-02-08 02:46,8095372.609
2020-02-09 01:00,8095372.609
