,Unnamed: 0,snapped_at,price,market_cap,total_volume,total supply,circulating_supply,date
0,0,2019-06-29 00:00:00 UTC,1.9959273028916893,9218437.472383998,1544873.7798697315,50000000.0,4618623.864220091,2019-06-29
1,1,2019-06-30 00:00:00 UTC,2.0881333997747618,9642670.411608974,364705.9025692985,50000000.0,4617842.142005433,2019-06-30
2,2,2019-07-01 00:00:00 UTC,1.9273043941876038,9195159.827644268,299709.3806391612,51321143.18170629,4770995.103510988,2019-07-01
3,3,2019-07-02 00:00:00 UTC,1.89231812046512,9241389.768726692,102402.6383486697,52902733.35141783,4883634.347091289,2019-07-02
4,4,2019-07-03 00:00:00 UTC,1.6133662742005692,8065828.2141444525,200242.5969077232,54207908.79939629,4999378.221254258,2019-07-03
5,5,2019-07-04 00:00:00 UTC,1.4521027175861638,7388804.026812453,443086.3519496878,55055007.83985025,5088348.046820607,2019-07-04
6,6,2019-07-05 00:00:00 UTC,1.4214806278175545,7350475.645701625,86672.78541454268,55949273.03613232,5170999.521102902,2019-07-05
7,7,2019-07-06 00:00:00 UTC,1.3047545755581158,6842382.346182231,90159.03032808367,56741192.30386373,5244191.110236471,2019-07-06
8,8,2019-07-07 00:00:00 UTC,1.26622406564711,6736569.149587328,227681.51420619697,57384944.27069616,5320203.060699665,2019-07-07
9,9,2019-07-08 00:00:00 UTC,1.257399887721402,6722574.972721772,365902.1919746229,57873027.26750059,5346409.712906918,2019-07-08
10,10,2019-07-09 00:00:00 UTC,1.29152119986365,6968354.705348961,590301.5052673927,58377925.39731769,5395462.8898733,2019-07-09
11,11,2019-07-10 00:00:00 UTC,1.2850653875357507,6995865.768535275,698933.5223699099,58906642.01260629,5443976.498309234,2019-07-10
12,12,2019-07-11 00:00:00 UTC,1.5000108139405732,8256022.079600854,1060631.6895070062,59606836.76310747,5503975.0399612365,2019-07-11
13,13,2019-07-12 00:00:00 UTC,1.3563327544836652,7549658.740478125,215404.3761230145,60534749.30168666,5566229.021249408,2019-07-12
14,14,2019-07-13 00:00:00 UTC,1.478977444653589,8423993.273713157,973502.3453468587,61622902.20950113,5695822.680843014,2019-07-13
15,15,2019-07-14 00:00:00 UTC,1.4476602933385538,8380158.212072519,158500.0635895187,62630942.61831176,5788760.14672367,2019-07-14
16,16,2019-07-15 00:00:00 UTC,1.5632367713193918,9203714.565470858,1104114.8565613634,63712681.23224621,5887601.119888451,2019-07-15
17,17,2019-07-16 00:00:00 UTC,1.5261277000608438,9150474.546303786,597105.6080807706,64889609.23850809,5995877.373786594,2019-07-16
18,18,2019-07-17 00:00:00 UTC,1.3651696834037652,8330299.316780424,859065.9475396703,65902750.65307646,6102024.838414638,2019-07-17
19,19,2019-07-18 00:00:00 UTC,1.5470737239209655,9522469.93105061,1383346.4211130028,66839516.96111388,6155149.417777248,2019-07-18
20,20,2019-07-19 00:00:00 UTC,1.431530700641655,8955970.29042653,982341.0985993934,67925938.73847193,6256219.504347475,2019-07-19
21,21,2019-07-20 00:00:00 UTC,1.3878785484076113,8858145.760669254,816959.8435973708,68841318.2411626,6382507.872056015,2019-07-20
22,22,2019-07-21 00:00:00 UTC,1.2991061118494602,8382836.555986165,901279.730910338,69502759.79735398,6452772.779316709,2019-07-21
23,23,2019-07-22 00:00:00 UTC,1.3085013232409302,8503617.359222902,669573.3108708179,70153213.00569792,6498745.70868673,2019-07-22
24,24,2019-07-23 00:00:00 UTC,1.2426619604608409,8142526.143243417,620003.1384331448,70740129.6951452,6552486.840607693,2019-07-23
25,25,2019-07-24 00:00:00 UTC,1.2181494191861713,8014437.233649736,458384.5116005974,71268263.44465357,6579190.620970021,2019-07-24
26,26,2019-07-25 00:00:00 UTC,1.1680132488037842,7797896.912141335,300356.3234763273,71740867.23382671,6676205.873629874,2019-07-25
27,27,2019-07-26 00:00:00 UTC,1.1673316847040225,7810668.420254225,194109.70250232585,72205487.95322295,6691044.64703588,2019-07-26
28,28,2019-07-27 00:00:00 UTC,1.141080180738694,7644053.101068096,115103.06585216375,72553469.92404921,6698962.290379641,2019-07-27
29,29,2019-07-28 00:00:00 UTC,1.0943024128978756,7370661.394281009,359053.4144031028,72824032.7338157,6735488.570076713,2019-07-28
30,30,2019-07-29 00:00:00 UTC,0.9993561123998016,6727934.986113212,127475.48887292785,72980856.56461772,6732269.8111658115,2019-07-29
31,31,2019-07-30 00:00:00 UTC,0.9625116823503916,6506422.049080981,352276.5573062832,72980856.56461772,6759836.964464386,2019-07-30
32,32,2019-07-31 00:00:00 UTC,0.9360113659956276,6325088.842142459,549711.3770141029,72980856.56461772,6757491.492012507,2019-07-31
33,33,2019-08-01 00:00:00 UTC,0.7594761637806,5097497.679006752,289170.0679147625,72668448.13592799,6711859.99259265,2019-08-01
34,34,2019-08-02 00:00:00 UTC,0.8344463015540494,5533393.003388478,268520.16108593845,72098084.3513343,6631215.2059194725,2019-08-02
35,35,2019-08-03 00:00:00 UTC,0.8465456237776233,5611785.667620941,216660.86104462808,71668093.05617644,6629041.022714076,2019-08-03
36,36,2019-08-04 00:00:00 UTC,0.8562094054212122,5629108.163830795,221698.39129502032,71292028.92607887,6574452.614266198,2019-08-04
37,37,2019-08-05 00:00:00 UTC,0.9599579403532608,6307326.994947217,399557.2784680776,70986802.97800273,6570420.150518413,2019-08-05
38,38,2019-08-06 00:00:00 UTC,0.9813861362450946,6444005.025631023,263105.0220373433,70986802.97800273,6566227.897091135,2019-08-06
39,39,2019-08-07 00:00:00 UTC,0.9633043020402928,6326722.0929356925,68697.04407794878,70986802.97800273,6567729.511365828,2019-08-07
40,40,2019-08-08 00:00:00 UTC,0.9040336173927164,5929424.988764065,210675.32350136095,70832213.22311251,6558854.532273766,2019-08-08
41,41,2019-08-09 00:00:00 UTC,0.8187738302329908,5350589.82311348,269695.82972762326,70526586.34478132,6534881.3378548175,2019-08-09
42,42,2019-08-10 00:00:00 UTC,0.813479678153132,5270656.066492396,302743.61916884274,70088708.5162719,6479149.028600848,2019-08-10
43,43,2019-08-11 00:00:00 UTC,0.8092072593314055,5219065.438377081,292631.1169145832,69644238.09372546,6449602.840549466,2019-08-11
44,44,2019-08-12 00:00:00 UTC,0.8012073179561158,5124613.466345966,243731.45039625114,69192547.82340445,6396114.1535987,2019-08-12
45,45,2019-08-13 00:00:00 UTC,0.7973502219127577,5053086.668128637,248195.60821835892,68730760.90301132,6337349.045952259,2019-08-13
46,46,2019-08-14 00:00:00 UTC,0.7399978949123427,4669914.803010027,190075.66079184206,68214556.73598884,6310713.6319127055,2019-08-14
47,47,2019-08-15 00:00:00 UTC,0.6934756290317259,4338886.856158313,206713.0505666979,67588240.67362276,6256725.794699576,2019-08-15
48,48,2019-08-16 00:00:00 UTC,0.7006663395598336,4337265.395664547,152908.33037379858,66906004.12235927,6190200.88561592,2019-08-16
49,49,2019-08-17 00:00:00 UTC,0.6962609816307749,4276090.457850842,257869.93353579572,66237433.8905526,6141505.22672609,2019-08-17
50,50,2019-08-18 00:00:00 UTC,0.6822359877756393,4140784.981006845,292752.17523933994,65562540.69431001,6069432.066325687,2019-08-18
51,51,2019-08-19 00:00:00 UTC,0.6901660622481258,4135688.906047712,255871.8739373942,64884292.74956095,5992309.868984641,2019-08-19
52,52,2019-08-20 00:00:00 UTC,0.6933662608614426,4126011.2318102033,301881.9471317804,64200471.46425717,5950695.129993808,2019-08-20
53,53,2019-08-21 00:00:00 UTC,0.6816494764190445,4012726.658089356,235306.3611627496,63536871.44137701,5886789.027066647,2019-08-21
54,54,2019-08-22 00:00:00 UTC,0.6778913785914015,3954410.730322803,244482.9897810277,62858781.87389539,5833398.764474214,2019-08-22
55,55,2019-08-23 00:00:00 UTC,0.6279786418951507,3621178.999417742,294868.34672339784,62151856.77692064,5766404.711614929,2019-08-23
56,56,2019-08-24 00:00:00 UTC,0.6088341824468942,3473434.0554022086,197750.2914829404,61363877.99558595,5705057.560077419,2019-08-24
57,57,2019-08-25 00:00:00 UTC,0.6072844006537792,3416179.126949996,207158.71011175786,60565385.95786589,5625336.536344863,2019-08-25
58,58,2019-08-26 00:00:00 UTC,0.6039959603249,3356322.739540831,198652.22026249114,59769888.91391926,5556862.89314817,2019-08-26
59,59,2019-08-27 00:00:00 UTC,0.585671264928238,3231230.7344961017,146422.35944114247,58970815.62000325,5517140.635014803,2019-08-27
60,60,2019-08-28 00:00:00 UTC,0.580560537134609,3159050.7237212425,28342.2871261166,58155028.22780032,5441380.393012803,2019-08-28
61,61,2019-08-29 00:00:00 UTC,0.5584495475576133,2992669.3704247917,23264.62964995849,57320856.13111235,5358889.417160909,2019-08-29
62,62,2019-08-30 00:00:00 UTC,0.5108989889389495,2694984.383121408,37949.06891556087,56423377.91888925,5274984.765028471,2019-08-30
63,63,2019-08-31 00:00:00 UTC,0.5118580821572986,2655030.502954156,16849.90792064933,55504734.55216712,5187044.213044665,2019-08-31
64,64,2019-09-01 00:00:00 UTC,0.4857664322196644,2478308.239019025,25721.677168970728,54571475.08940479,5101851.578534619,2019-09-01
65,65,2019-09-02 00:00:00 UTC,0.4831452652370094,2422606.588291955,9591.118564725222,53634352.14362326,5014240.56614429,2019-09-02
66,66,2019-09-03 00:00:00 UTC,0.4698740613078643,2326649.8590256264,28107.71514543535,52694693.35381077,4951645.665541839,2019-09-03
67,67,2019-09-04 00:00:00 UTC,0.4544199179222864,2198435.0932785533,66466.5735462666,51748070.61333727,4837893.33735702,2019-09-04
68,68,2019-09-05 00:00:00 UTC,0.44851403211715996,2131127.468520876,77028.39329405635,50798654.92771968,4751529.08474486,2019-09-05
69,69,2019-09-06 00:00:00 UTC,0.5215239467632993,2433961.1602961696,111431.24703559668,49895135.9216103,4667017.06681334,2019-09-06
70,70,2019-09-07 00:00:00 UTC,0.4588600906130543,2104969.201838689,94760.08608312279,49043401.98919067,4587387.84413866,2019-09-07
71,71,2019-09-08 00:00:00 UTC,0.4633452288290112,2087279.944082676,20881.122639102992,48160516.24453339,4504805.087467399,2019-09-08
72,72,2019-09-09 00:00:00 UTC,0.4782609367422105,2117977.252853395,12824.179882446377,47309506.53753357,4428497.270298734,2019-09-09
73,73,2019-09-10 00:00:00 UTC,0.4793950568718482,2084373.851278745,56482.089263098336,46483325.78993516,4347925.20573682,2019-09-10
74,74,2019-09-11 00:00:00 UTC,0.4816862828475784,2057975.738725032,43387.224397981015,45676319.32397472,4272439.9926004205,2019-09-11
75,75,2019-09-12 00:00:00 UTC,0.4314981944349993,1810546.6309487484,61130.039654417014,44858614.99149751,4195954.12981847,2019-09-12
76,76,2019-09-13 00:00:00 UTC,0.4014714470721078,1650271.1947926697,84822.78890899617,43992080.38816121,4110556.8199879145,2019-09-13
77,77,2019-09-14 00:00:00 UTC,0.3986088126301449,1606079.0082114672,40141.753027753286,43108278.91910776,4029210.9891250483,2019-09-14
78,78,2019-09-15 00:00:00 UTC,0.3917517466990832,1547892.8611925943,34339.798832789565,42242059.55901899,3951208.5759290294,2019-09-15
79,79,2019-09-16 00:00:00 UTC,0.3903138300710461,1511122.279079623,70214.10849976378,41390511.87951503,3871557.0975401103,2019-09-16
80,80,2019-09-17 00:00:00 UTC,0.3996982622853878,1515915.704665844,10653.574366815319,40546924.72988179,3792650.2256931704,2019-09-17
81,81,2019-09-18 00:00:00 UTC,0.3937848017744139,1464153.0833718574,33700.070659232406,39731063.56400827,3718155.390391683,2019-09-18
82,82,2019-09-19 00:00:00 UTC,0.4051983596843791,1477287.05017812,35069.48892687534,38936766.84029861,3645836.699163398,2019-09-19
83,83,2019-09-20 00:00:00 UTC,0.4615036560505082,1649336.8054630137,32318.586441731284,38207562.60626315,3573832.5879752203,2019-09-20
84,84,2019-09-21 00:00:00 UTC,0.4742665148666232,1665217.3678782943,36328.25796845918,37537348.96946226,3511142.6079629497,2019-09-21
85,85,2019-09-22 00:00:00 UTC,0.4463193428659557,1539234.8223156296,7720.5071626888575,36870098.65918116,3448729.809538889,2019-09-22
86,86,2019-09-23 00:00:00 UTC,0.4359738976587023,1475056.9325592066,3245.4592936169092,36183621.34820296,3383360.656407783,2019-09-23
87,87,2019-09-24 00:00:00 UTC,0.3979948453862449,1329569.764245527,62530.25415703124,35506600.21690948,3340670.8143549194,2019-09-24
88,88,2019-09-25 00:00:00 UTC,0.3848632212748242,1263782.3453379623,69353.69617580867,34792330.589846365,3283718.1509623053,2019-09-25
89,89,2019-09-26 00:00:00 UTC,0.3835602971593844,1222528.7871612944,49407.07980811999,34074362.95289896,3187318.3857016503,2019-09-26
90,90,2019-09-27 00:00:00 UTC,0.3811653207440752,1210117.071750358,32450.654600291567,33370341.0638801,3174782.714723577,2019-09-27
91,91,2019-09-28 00:00:00 UTC,0.3864830307102421,1203579.7800326643,16715.760106899532,32682057.58412027,3114185.318358839,2019-09-28
92,92,2019-09-29 00:00:00 UTC,0.3781174754432398,1149024.23601231,35970.47047719808,32007195.061516996,3038802.25230371,2019-09-29
93,93,2019-09-30 00:00:00 UTC,0.37586511878205175,1122277.5605319107,27496.14476607397,31344824.46865841,2985851.8507078383,2019-09-30
94,94,2019-10-01 00:00:00 UTC,0.3789288700453429,1108221.0574089366,13053.348164180312,30692597.287029136,2924615.00037283,2019-10-01
95,95,2019-10-02 00:00:00 UTC,0.3675526077589861,1031052.6730069312,46707.12981296219,30056230.06672797,2805183.9416767773,2019-10-02
96,96,2019-10-03 00:00:00 UTC,0.3675526077589861,1031052.6730069312,46707.12981296219,29429237.7565658,2805183.9416767773,2019-10-03
97,97,2019-10-04 00:00:00 UTC,0.3710281996771888,996968.123057731,20989.27972846152,28807824.56550992,2687041.37293375,2019-10-04
98,98,2019-10-05 00:00:00 UTC,0.3714475752184118,998095.0024877936,20539.464194241293,28199362.563116144,2687041.3729337496,2019-10-05
99,99,2019-10-06 00:00:00 UTC,0.3731945007283127,981692.0540512408,3323.685424569668,27606095.00258141,2630510.5035990793,2019-10-06
100,100,2019-10-07 00:00:00 UTC,0.4342416217451999,1118786.8229732928,40561.27353107274,27038390.28998416,2576415.44925365,2019-10-07
101,101,2019-10-08 00:00:00 UTC,0.4261077253902875,1077592.3545798152,80317.8647555249,26532959.693043914,2528920.013343596,2019-10-08
102,102,2019-10-09 00:00:00 UTC,0.4620728063323588,1146261.2017693305,40715.95516763498,26020273.84227395,2480693.921089245,2019-10-09
103,103,2019-10-10 00:00:00 UTC,0.5222753745117604,1272804.4723654343,115302.97217520619,25575673.63908008,2437037.11582284,2019-10-10
104,104,2019-10-11 00:00:00 UTC,0.5765725533347704,1381925.3177197191,33236.98453919543,25153333.361303024,2396793.4472894403,2019-10-11
105,105,2019-10-12 00:00:00 UTC,0.6940675983173837,1700185.8877643046,52109.31424333006,24807469.56644153,2449596.97281077,2019-10-12
106,106,2019-10-13 00:00:00 UTC,0.5307629615414439,1283882.247390951,10144.156322839564,24496972.5572894,2418937.1535313902,2019-10-13
107,107,2019-10-14 00:00:00 UTC,0.5788292274175466,1378654.6426041985,78706.97783606543,24120864.330024306,2381798.5984486,2019-10-14
108,108,2019-10-15 00:00:00 UTC,0.5252230446710091,1231785.734964575,55261.43701481498,23750853.88927259,2345262.1652123905,2019-10-15
